"date","value","var"
2014-07-20,300.515788549225,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-21,300.424666369577,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-22,300.948310363591,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-23,300.941643953866,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-24,300.861856732695,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-25,301.077044435736,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-26,301.048439906098,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-27,300.768000001508,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-28,300.239512214252,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-29,299.864978348686,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-30,300.233149558071,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-31,300.698945785785,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-01,300.772447697017,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-02,300.6421285496,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-03,300.0177621092,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-04,299.943669884663,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-05,299.987504697148,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-06,299.765263075607,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-07,299.570049485488,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-08,299.244611607336,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-09,299.317560350023,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-10,299.412518965133,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-11,299.391140718308,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-12,299.358051759003,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-13,299.374143179074,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-14,299.260723301711,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-08-15,298.995054595223,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
